Material No,Price,BQ No,Quantity
102GT8B00S,"13,449.00",2483,2235
133SPH900S,"13,986.00",2015,2010
191GB4000S,"26,960.00",2850,2650
191SCJ710S,"11,190.00",2043,2032
191SCN010S,"22,990.00",2003,2003
191SRC920S,"20,176.00",2060,2000
191SRSC10S,"25,289.00",2040,2000
200198900S,"24,907.00",2029,2026
200SFV770S,"22,552.00",2002,2001
200SRY960S,"10,520.00",2001,2000
200SSP901S,"29,664.00",2002,2002
200SSP911S,"24,833.00",2002,2002
200SST870S,"23,541.00",2005,2005
200STC921S,"21,892.00",2002,2002
200STCA00S,"25,391.00",2002,2002
200STCA20S,"13,527.00",2008,2008
200STP900S,"12,076.00",2018,2008
200STR790S,"13,822.00",2001,2001
200STRA20S,"15,436.00",2001,2001
200STRA40S,"23,618.00",2001,2001
200SVE900S,"10,670.00",2009,2008
200SVE910S,"14,138.00",2003,2003
200SWA940S,"15,443.00",2003,2002
200SZN900S,"27,536.00",2001,2001
203GC7300S,"20,856.00",2155,2120
204GCC000S,"11,340.00",2005,2000
204SWP900S,"16,427.00",2005,2000
209SWP900S,"27,027.00",2010,2000
211STP900S,"14,162.00",2020,2000
215SSP910S,"28,382.00",2030,2003
215STC901S,"17,966.00",2031,2020
216SRM840S,"14,235.00",2030,2007
216STC901S,"10,006.00",2212,2212
217SRM840S,"25,596.00",2002,2002
217STC901S,"22,982.00",2017,2000
220GCC000S,"10,385.00",2185,2115
230SPH900S,"13,964.00",2048,2048
321SST940S,"19,093.00",2009,2009
321SWA940S,"18,479.00",2061,2035
330198000S,"23,685.00",2003,2003
330198D00S,"19,825.00",2001,2001
330AADH00S,"14,991.00",2001,2001
330SCC730S,"21,327.00",2001,2000
330SCC830S,"19,631.00",2002,2000
330SCC870S,"14,368.00",2001,2001
330SCC900S,"28,526.00",2005,2003
330SFV760S,"13,108.00",2010,2010
330SRY901S,"21,934.00",2001,2001
330SRY960S,"25,552.00",2001,2001
330SRY970S,"20,577.00",2001,2001
330SST941S,"16,438.00",2008,2001
330STC901S,"22,484.00",2002,2000
330STCA20S,"16,405.00",2005,2005
330STN760S,"22,756.00",2002,2002
330STR940S,"25,903.00",2004,2001
330STRA20S,"27,596.00",2011,2000
330SVE860S,"12,670.00",2004,2002
330SVE900S,"21,240.00",2001,2001
330SVH760S,"22,355.00",2001,2000
330SVN900S,"15,592.00",2002,2002
330SVN970S,"18,004.00",2002,2002
330SWA930S,"13,093.00",2002,2002
330SZJ900S,"28,014.00",2004,2004
341198900S,"21,406.00",2002,2000
341AADH00S,"29,379.00",2001,2001
341AADH10S,"28,765.00",2001,2001
341AAEH00S,"21,057.00",2001,2001
341SCC730S,"28,438.00",2001,2001
341SCC830S,"26,602.00",2005,2005
41SCC830ZS,"12,542.00",2004,2000
341SCC870S,"16,440.00",2001,2001
341SCC900S,"24,036.00",2004,2004
341SFV770S,"16,013.00",2020,2020
341SRY900S,"11,284.00",2002,2002
341SRY960S,"28,651.00",2005,2005
341SST870S,"13,220.00",2002,2001
341SST941S,"13,992.00",2005,2004
341SSTA30S,"29,151.00",2003,2003
341STC900S,"16,210.00",2002,2000
341STC920S,"29,780.00",2010,2005
341STCA20S,"26,970.00",2017,2017
341STN900S,"12,646.00",2003,2003
341STR920S,"21,524.00",2003,2000
341STR940S,"10,266.00",2004,2004
341STR960S,"20,157.00",2005,2005
341STRA20S,"16,342.00",2016,2016
341SVE900S,"10,819.00",2005,2005
341SVN900S,"11,423.00",2004,2003
341SWA900S,"12,521.00",2003,2000
341SWA930S,"24,352.00",2006,2002
341SWA941S,"27,723.00",2004,2004
341SWH961S,"26,375.00",2005,2005
341SWH971S,"22,734.00",2002,2002
341SZJ900S,"23,619.00",2002,2002
341SZN900S,"15,662.00",2001,2001
342STP950S,"20,253.00",2002,2002
344GW3980S,"27,333.00",2040,2020
345SWP900S,"28,431.00",2001,2000
355SRY900S,"28,239.00",2002,2002
360STC901S,"13,437.00",2011,2000
360STCA20S,"22,567.00",2023,2012
360STN760S,"21,971.00",2001,2001
360STN901S,"16,924.00",2006,2000
360STR901S,"20,118.00",2002,2002
360STRA00S,"29,804.00",2002,2002
360SVE860S,"13,380.00",2007,2007
360SVN901S,"23,498.00",2002,2002
360SWH961S,"23,074.00",2004,2004
361GFC770S,"16,688.00",2002,2000
361SFN851S,"21,596.00",2027,2000
361SPH900S,"25,818.00",2218,2146
361SRC921S,"21,574.00",2003,2003
361SRY960S,"16,301.00",2002,2001
361SRY970S,"22,827.00",2001,2001
361SZJ900S,"11,647.00",2002,2002
363437620S,"24,982.00",2130,2000
366SGA900S,"29,331.00",2002,2000
393SCJ710S,"20,599.00",2315,2130
393SCN010S,"21,192.00",2028,2002
393SWS900S,"17,536.00","3,313","3,144"
394035010S,"11,918.00","8,900","8,650"
394GW8681S,"15,768.00",2406,2406
394SPH901S,"16,388.00","8,340","7,910"
395GB4780S,"16,210.00",2050,2050
395GBJ731S,"17,599.00",2800,2750
395SCJ710S,"23,608.00",2230,2150
395SCN000S,"26,124.00",2023,2020
395SCN010S,"15,461.00",2025,2000
395SPH901S,"12,004.00","3,249",2428
395SRP980S,"25,703.00",2112,2000
395SRP981S,"26,741.00",2151,2030
395STC901S,"13,257.00",2141,2101
395SWS900S,"19,299.00",2595,2440
000SRY960S,"21,626.00",2002,2002
000SRY971S,"25,137.00",2001,2001
100SFN851S,"27,797.00",2001,2000
100SRC921S,"27,197.00",2002,2002
100SRY900S,"11,010.00",2001,2001
100SRY960S,"25,898.00",2010,2000
100STC900S,"22,981.00",2007,2001
100STCA20S,"21,540.00",2021,2021
100STN900S,"22,209.00",2012,2011
100STR780S,"13,527.00",2084,2001
100STR900S,"26,599.00",2013,2000
100STR942S,"14,072.00",2002,2000
100STRA40S,"17,991.00",2005,2001
100SVE900S,"26,376.00",2015,2000
100SZJ900S,"15,587.00",2002,2002
101SCC940S,"11,391.00",2010,2000
101SST940S,"16,028.00",2010,2000
101STP900S,"15,166.00",2021,2001
101SWA930S,"12,600.00",2007,2003
101SWH960S,"29,668.00",2003,2000
101SWP900S,"16,331.00",2003,2001
191437020S,"28,262.00",2340,2250
191GF6000S,"25,837.00","3,050","3,050"
191GS4762S,"19,289.00",2020,2020
191SCN000S,"10,058.00",2082,2000
191SCN010S,"17,571.00",2068,2000
191SPH901S,"12,806.00","4,191","3,942"
191SRP980S,"24,480.00",2350,2225
191SRSC10S,"10,804.00",2060,2040
191SWS900S,"23,908.00",2809,2474
200198900S,"11,931.00",2007,2007
200SCC940S,"25,984.00",2029,2016
200SPH901S,"14,974.00",2007,2007
200SRC922S,"21,661.00",2001,2001
200SST940S,"12,237.00",2003,2002
200SSTA10S,"14,859.00",2003,2001
200STCA20S,"14,870.00",2006,2006
200STN900S,"29,592.00",2003,2003
200STR900S,"26,679.00",2001,2001
200STRA00S,"22,516.00",2007,2006
200STRA40S,"18,221.00",2003,2003
200SVE900S,"16,849.00",2012,2008
200SVH950S,"22,762.00",2002,2002
200SVN970S,"19,796.00",2003,2002
200SWA930S,"13,690.00",2009,2009
200SWH960S,"16,338.00",2007,2007
200SWP900S,"26,727.00",2001,2001
200SZJ900S,"17,819.00",2002,2002
204439305S,"18,006.00",2006,2004
204SPHP00S,"24,176.00",2004,2000
204SRC305S,"14,999.00",2018,2018
204SRM305S,"15,772.00",2116,2019
204SWPP00S,"20,246.00",2010,2000
205SSP305S,"17,988.00",2065,2053
206SCN305S,"17,982.00",2002,2002
206SPH900S,"29,337.00",2025,2025
206SRC305S,"27,613.00",2019,2019
208SCS920S,"23,841.00","4,336",2684
209GB4685S,"22,516.00","32,700","29,900"
210SSP910S,"19,763.00",2128,2109
211SPH900S,"21,984.00",2002,2002
211STP901S,"27,774.00",2050,2050
237GB4305S,"25,116.00","6,020","4,880"
237SPH305S,"29,886.00",2120,2080
245GB4305S,"11,443.00","3,260",2870
50GF6000HS,"17,719.00","5,580","5,360"
51GF6000RS,"25,287.00",2070,2070
251SEH910S,"29,250.00",2150,2150
251SPH901S,"23,083.00","3,766","3,466"
251SPH840S,"23,144.00",2045,2020
251SRC921S,"11,490.00",2059,2052
251SRMB41S,"24,058.00",2912,2616
251SSP910S,"28,319.00",2235,2165
251SST942S,"25,328.00",2369,2253
251ST0711S,"23,054.00",2044,2006
251SWP901S,"20,333.00",2035,2035
271383000S,"24,538.00",2008,2008
301GB6900S,"11,907.00",2290,2280
301SWA900S,"21,682.00",2022,2022
301SWH960S,"19,275.00",2002,2002
310STN900S,"13,492.00",2001,2001
310SVE900S,"29,196.00",2001,2001
331198910S,"26,690.00",2030,2030
331GB0910S,"21,594.00",2050,2050
331SRY960S,"22,857.00",2011,2000
339SCJ710S,"26,458.00",2345,2330
339ST0711S,"16,032.00",2030,2030
341198900S,"29,218.00",2181,2181
341GB6910S,"16,508.00",2022,2012
341SPGT00S,"11,039.00",2013,2011
341STCA20S,"18,188.00",2067,2015
341STR780S,"29,326.00",2035,2018
341STR900S,"29,642.00",2030,2015
341SWA900S,"24,203.00",2030,2010
341SWH960S,"15,878.00",2001,2000
361035000S,"19,463.00","5,330","5,210"
361SEZ900S,"12,741.00",2700,2510
361SPH900S,"28,360.00",2034,2026
361STCA20S,"28,840.00",2035,2005
361STR900S,"19,709.00",2014,2004
361STRA00S,"16,393.00",2005,2005
391GB6910S,"26,762.00","7,600","7,400"
391SRM840S,"25,791.00","6,510","5,900"
391SRSC10S,"14,794.00",2360,2000
91STP900AS,"26,872.00",2043,2039
391SWP900S,"23,809.00",2010,2010
94198900HS,"15,802.00",2050,2050
394GB4680S,"14,502.00","5,275","5,000"
394GW8681S,"15,324.00",2030,2020
394SRSC10S,"20,624.00",2160,2000
395GB2000S,"23,739.00","5,800","5,750"
395GW8681S,"27,828.00",2040,2040
395SPH901S,"27,861.00","3,410",2950
395SRSC10S,"14,502.00",2040,2000
397SSP910S,"19,581.00",2050,2010
000SAG900S,"18,155.00",2067,2044
000SCC900S,"19,725.00",2332,2238
000SEH900S,"14,336.00",2015,2015
000SRC922S,"17,267.00",2052,2000
000SRY903S,"23,039.00",2030,2026
000STC902S,"17,410.00",2333,2249
000STN900S,"10,352.00",2072,2054
000STP900S,"14,724.00",2062,2046
000SWA940S,"24,835.00",2053,2027
000SWP900S,"22,912.00",2003,2003
000SZJ900S,"23,679.00",2003,2003
011198771S,"10,065.00",2107,2066
11GN5315HS,"18,786.00",2580,2580
11SCC305HS,"12,938.00","3,320","3,310"
011SCC942S,"24,191.00",2957,2936
011SCJ305S,"11,148.00",2025,2025
011SRC920S,"20,899.00",2058,2058
011SRM305S,"15,938.00",2506,2477
011SRY900S,"25,999.00",2060,2060
011STC305S,"13,538.00","3,190","3,093"
011SWP900S,"20,555.00",2012,2012
012198771S,"17,927.00",2065,2065
12GN5315HS,"18,504.00",2300,2300
12SCC305HS,"24,861.00",2420,2390
012SCC942S,"12,442.00",2246,2246
012SWP900S,"22,292.00",2002,2000
013198771S,"21,602.00",2029,2029
13GN5315HS,"28,798.00",2180,2180
13SCC305HS,"16,966.00",2020,2030
013SCC942S,"27,351.00",2077,2077
013SWP900S,"22,330.00",2002,2000
014SCC942S,"25,667.00",2001,2001
021SCJ305S,"29,139.00",2009,2009
021SRC920S,"15,611.00",2014,2014
021SRM305S,"24,933.00",2115,2118
021STC305S,"20,312.00",2548,2498
031SCJ305S,"17,385.00",2006,2006
031SRC920S,"21,580.00",2021,2021
031SRM305S,"28,958.00",2090,2092
031STC305S,"10,357.00",2213,2163
101GN5910S,"29,039.00",2021,2016
101SCC901S,"28,214.00",2080,2073
101SFN851S,"14,120.00",2018,2009
101SPH901S,"22,346.00",2015,2000
101SRC921S,"18,610.00",2094,2000
101SRY901S,"23,262.00",2013,2000
101SSP910S,"19,548.00",2231,2044
101STC900S,"20,004.00",2072,2068
101SWP900S,"12,440.00",2011,2005
102SCC315S,"25,338.00",2020,2020
102SEH305S,"10,003.00",2008,2004
102SPH901S,"23,676.00",2152,2011
102SRC920S,"12,628.00",2017,2000
102SSP305S,"19,410.00",2091,2044
102STC305S,"22,846.00",2535,2417
102SWP900S,"17,953.00",2002,2000
03GN5325HS,"16,864.00",2010,2010
103SCC315S,"20,539.00",2006,2006
103SEH305S,"11,559.00",2006,2006
103SPH901S,"15,916.00",2055,2011
103SRC920S,"29,196.00",2017,2005
103SSP305S,"11,763.00",2088,2088
103STC305S,"25,058.00",2253,2201
103SWP900S,"21,467.00",2002,2000
105STC305S,"18,232.00",2001,2001
111087000S,"28,539.00",2430,2420
111440000S,"24,067.00",2072,2067
111SRC920S,"22,781.00",2025,2000
111SSP910S,"22,308.00",2224,2109
115001000S,"27,350.00",2600,2600
201GF6300S,"28,224.00",2110,2110
201SFH850S,"26,836.00",2059,2052
201SRM840S,"14,849.00",2004,2001
380SCN300S,"20,484.00",2001,2001
380SRM840S,"24,277.00",2005,2005
81SCC900HS,"10,145.00",2080,2080
381SPH900S,"19,617.00",2038,2034
411SRM840S,"20,602.00",2008,2004
421SRM840S,"14,322.00",2017,2017
422SRM840S,"17,947.00",2018,2014
426SRM840S,"25,573.00",2013,2013
427SRM840S,"15,883.00",2040,2020
428SRM840S,"17,596.00",2025,2015
429SRM840S,"13,643.00",2001,2001
538SRM840S,"14,567.00",2005,2005
13AACAE1HH,"20,305.00",2001,2000
13SRYHE1HH,"16,340.00",2001,2001
13STCAE1HH,"27,894.00",2001,2000
13STCJE1HH,"21,264.00",2001,2000
13STNHE1HH,"28,264.00",2001,2001
13STPJE1HH,"10,725.00",2001,2001
13STRAE1HH,"13,305.00",2001,2001
13STRFE1HH,"19,337.00",2001,2001
3STRMCE1HH,"13,116.00",2007,2000
3STRMFE1HH,"11,933.00",2002,2000
13SVEGE1HH,"17,497.00",2007,2000
13SVHHE1HH,"17,223.00",2005,2005
13SVNFE1HH,"13,241.00",2005,2005
13SWAGE1HH,"27,515.00",2001,2000
13SZJAE1HH,"16,431.00",2006,2000
13SZNAE1HH,"10,050.00",2010,2000
13SUPHE1HH,"11,723.00",2001,2001
100GB6910S,"14,444.00",2245,2205
100SCC900S,"19,665.00",2407,2359
100SFN851S,"26,639.00",2207,2144
100SRC922S,"11,424.00",2093,2052
100SRY900S,"12,837.00",2174,2094
100SST941S,"28,270.00",2118,2097
100STC900S,"19,635.00",2166,2164
100STN900S,"20,038.00",2122,2121
100STP900S,"19,539.00",2308,2205
100SVE900S,"22,747.00",2402,2256
100SWP901S,"26,042.00",2005,2002
100SZJ900S,"26,009.00",2001,2001
150GCC000S,"12,575.00",2255,2160
311035000S,"15,645.00",2413,2200
11SN6931HS,"20,965.00",2096,2091
311SPH900S,"26,512.00",2016,2014
311SPH900S,"21,859.00",2010,2000
321GB6900S,"20,531.00",2330,2290
21SEH900HS,"28,206.00",2048,2022
321SPH900S,"12,271.00",2005,2000
321SRM840S,"23,613.00",2030,2030
321STC900S,"25,585.00",2003,2000
321SWP900S,"24,623.00",2005,2005
401178000S,"29,111.00","23,200","22,520"
401SCW851S,"23,037.00","4,792","4,677"
01SEH901HS,"28,290.00","3,209","3,138"
401SFB751S,"21,338.00",2493,2483
401SPH900S,"18,426.00",2400,2365
401STC900S,"24,353.00","4,310","4,240"
401SWP901S,"10,108.00",2017,2017
430SSP910S,"14,514.00","4,486","3,939"
430SST940S,"16,911.00",2283,2157
430SWP900S,"21,214.00",2020,2010
31035020RS,"20,686.00","6,410","6,180"
431GCC000S,"16,985.00",2658,2470
431GN5910S,"20,394.00",2016,2016
31SEH900RS,"22,572.00",2824,2733
431STC900S,"21,963.00",2424,2368
440SWP900S,"13,204.00",2020,2010
451035000S,"16,565.00","4,020","4,000"
451437000S,"17,452.00",2052,2052
451GCC000S,"12,164.00",2100,2030
451SRM840S,"23,012.00",2130,2090
451STC900S,"29,305.00",2002,2000
452STC900S,"27,991.00",2006,2006
456SG2950S,"11,276.00",2003,2003
461GCC000S,"27,272.00",2045,2000
500035020S,"11,627.00","3,230",2950
500SBB900S,"22,277.00",2290,2096
500SW1900S,"14,597.00",2220,2195
02086000RS,"28,460.00","8,120","6,600"
510SPH900S,"16,182.00",2064,2045
510SSP911S,"19,191.00",2123,2123
510STC900S,"20,541.00",2333,2052
510SVE900S,"23,020.00",2623,2211
510SWP900S,"12,477.00",2010,2000
511SPH900S,"19,006.00",2015,2015
513SBB900S,"22,577.00",2022,2022
513SRC920S,"17,680.00",2013,2013
520SPH840S,"22,498.00",2106,2106
520SRC921S,"28,198.00",2006,2006
520SRY970S,"14,286.00",2916,2672
520STC901S,"15,051.00","3,033",2874
520STN900S,"12,842.00",2452,2256
520SVE900S,"21,184.00",2603,2593
521SRC920S,"11,259.00",2013,2013
523SEH910S,"10,373.00",2400,2140
531035000S,"23,730.00",2240,2120
531SRC920S,"18,263.00",2020,2000
535437000S,"14,083.00",2115,2100
541GB4680S,"15,765.00","9,575","9,175"
50GB0910RS,"10,234.00","3,190","3,190"
550SCT690S,"25,617.00",2294,2286
550SFB000S,"22,815.00",2250,2169
560SCW851S,"29,632.00",2010,2000
560SCW880S,"13,597.00",2010,2000
560SGH900S,"23,591.00",2125,2055
560SSP910S,"26,160.00",2165,2045
566086030S,"29,737.00","20,500","20,800"
10086000RS,"19,863.00","18,600","17,150"
610SPH900S,"11,626.00",2191,2092
610SSP910S,"18,467.00",2710,2520
611STP900S,"11,192.00",2078,2068
611SWP900S,"21,926.00",2010,2000
615035000S,"21,025.00","3,320","3,260"
70035030HS,"12,186.00","3,574","3,545"
675178000S,"23,833.00",2990,2910
711GCC000S,"23,397.00",2233,2216
11GN5910HS,"18,048.00","3,360",2770
711SBB900S,"15,653.00",2142,2122
711SRC921S,"27,629.00",2458,2335
711SSP910S,"16,863.00",2210,2215
711STC900S,"16,982.00",2210,2060
711SVY900S,"18,516.00",2030,2030
721GCC000S,"28,797.00",2112,2114
21GF6010HS,"13,799.00",2138,2138
721SBB900S,"15,979.00",2112,2072
721SRC921S,"23,461.00",2438,2153
721SSP910S,"13,161.00",2120,2120
721STC900S,"29,715.00",2083,2083
721SVE900S,"28,994.00",2158,2154
721SVY900S,"22,183.00",2029,2029
751GBG900S,"13,711.00",2010,2010
751SCC900S,"24,780.00",2050,2020
751SEH910S,"12,608.00",2014,2000
751SPH900S,"21,269.00",2106,2084
751SRM871S,"18,055.00",2011,2011
751STN900S,"14,626.00",2020,2010
761SCC900S,"25,552.00",2010,2010
761SEH910S,"25,113.00",2010,2010
761STN900S,"15,408.00",2020,2020
771GB4680S,"12,409.00",2050,2020
775SWP900S,"11,655.00",2005,2000
775MA6000S,"18,999.00",2350,2350
776SPH900S,"18,404.00",2003,2003
781HA0770S,"22,116.00",2002,2002
781MA6000S,"28,923.00","3,110",2930
100GF6000S,"29,045.00",2305,2285
100SCC900S,"27,899.00",2515,2488
100SFB000S,"17,869.00",2028,2000
100SFN850S,"13,428.00",2055,2043
100SRM840S,"28,588.00",2098,2082
100STC900S,"20,854.00",2037,2023
100STP900S,"15,274.00",2259,2189
119178000S,"29,103.00",2050,2050
130SRM840S,"24,022.00",2037,2033
133GFC901S,"23,546.00",2160,2079
133SVY900S,"25,057.00",2005,2005
135SVY900S,"18,342.00",2005,2000
341STC900S,"18,180.00",2028,2000
384178000S,"26,861.00",2012,2000
421035010S,"19,687.00","3,300","3,100"
421107000S,"26,820.00",2044,2014
421SPH900S,"25,311.00",2010,2000
430440030S,"12,907.00",2329,2305
430SSP910S,"11,611.00",2255,2234
431STC901S,"15,560.00",2005,2000
436107000S,"29,005.00",2011,2011
436SRM840S,"11,624.00",2004,2004
439198000S,"19,401.00",2050,2050
441198000S,"20,394.00",2019,2009
41STC900AS,"11,135.00",2040,2040
446107000S,"14,143.00",2020,2020
459107000S,"16,660.00",2300,2000
459ST0710S,"29,521.00",2310,2000
459SWS900S,"10,051.00",2200,2060
510SRY970S,"10,995.00",2002,2001
520SRY970S,"24,159.00",2005,2001
600SRY970S,"20,062.00",2003,2002
611STC900S,"23,107.00",2087,2064
650SRC900S,"20,391.00",2020,2020
650SVE931S,"16,636.00",2010,2010
651198900S,"22,039.00","3,440","3,250"
651STN900S,"14,614.00",2025,2015
651STP900S,"15,155.00",2090,2030
651SVN900S,"20,960.00",2017,2000
651SWP900S,"24,902.00",2005,2000
661198000S,"21,223.00",2005,2005
661STC900S,"24,935.00",2092,2020
010SPH902S,"15,651.00",2004,2004
010SPH901S,"13,756.00",2011,2011
010SSP911S,"17,526.00",2005,2000
11198901AS,"10,129.00","6,020","5,430"
012SFN852S,"19,342.00",2002,2002
012SPH901S,"23,944.00",2001,2001
012STC901S,"22,453.00",2002,2002
012STRA01S,"24,425.00",2002,2002
012SZN901S,"28,920.00",2001,2001
013883305S,"13,844.00",2002,2002
013SRB901S,"18,980.00",2053,2053
013SRC921S,"10,651.00",2006,2006
013SRY901S,"13,546.00",2020,2020
013SST901S,"26,652.00",2542,2542
014SPH901S,"28,754.00",2001,2001
014STRA01S,"17,284.00",2002,2002
016GAHA00S,"19,984.00",2022,2027
016SFN851S,"19,623.00",2003,2003
016SPH651S,"17,953.00",2023,2023
016SPH901S,"16,531.00",2081,2081
016SPP901S,"23,831.00",2121,2121
016SPWH01S,"10,562.00",2016,2016
016SRC921S,"28,749.00",2004,2003
016SRY902S,"25,500.00",2138,2138
016SSP911S,"21,088.00",2041,2041
016SST901S,"13,763.00",2099,2095
016SST942S,"29,397.00",2012,2010
016SW7930S,"15,399.00",2020,2000
022SCC305S,"20,157.00",2005,2005
022STP901S,"27,469.00",2010,2010
022STRA01S,"16,043.00",2002,2002
022SWP901S,"19,179.00",2001,2001
028SPH901S,"28,994.00",2005,2005
028SPP901S,"18,469.00",2008,2008
028STT901S,"12,706.00",2002,2000
046SRY901S,"28,167.00",2005,2005
046STN901S,"11,238.00",2020,2015
046SVC901S,"17,629.00",2020,2017
050STN901S,"15,437.00",2010,2010
060GEY642S,"10,278.00",2001,2001
060SPH701S,"11,503.00",2001,2001
060STC901S,"14,476.00",2009,2009
060SWP901S,"15,564.00",2001,2001
076SPH901S,"18,622.00",2060,2000
083STR941S,"14,314.00",2001,2001
100198771S,"23,157.00",2054,2053
100198772S,"28,370.00",2026,2026
100198D01S,"11,950.00",2004,2004
100SCC941S,"11,497.00",2181,2165
100SCC942S,"24,955.00",2073,2067
100SFN931S,"25,825.00",2010,2001
100SFV761S,"13,610.00",2007,2001
100SRC923S,"12,847.00",2005,2000
100SRY901S,"24,262.00",2050,2019
100SST901S,"12,805.00",2106,2053
100SST921S,"11,268.00",2005,2000
100SST945S,"17,928.00",2003,2002
100SSTA12S,"10,059.00",2014,2006
100STC902S,"10,551.00",2147,2115
100STCA21S,"29,119.00",2023,2001
100STN902S,"14,724.00",2036,2001
100STP903S,"16,437.00",2026,2011
100STP951S,"25,623.00",2010,2007
100STRA01S,"29,922.00",2012,2000
100STRA21S,"27,785.00",2023,2000
100SVE861S,"13,146.00",2003,2002
100SVE902S,"20,478.00",2037,2028
100SVH762S,"27,807.00",2015,2006
100SVH851S,"16,571.00",2004,2001
100SVH901S,"22,880.00",2002,2000
100SWA935S,"29,655.00",2005,2004
100SWH762S,"13,224.00",2001,2000
100SWH961S,"16,830.00",2005,2005
100SZJ904S,"19,994.00",2003,2002
100SZN902S,"13,217.00",2003,2003
101198P20S,"12,524.00",2002,2002
111SRY901S,"12,559.00",2002,2002
118STRA01S,"26,655.00",2006,2006
140STN901S,"13,348.00",2005,2005
150STN700S,"23,252.00",2025,2000
150SZJ900S,"29,946.00",2005,2000
155883005S,"12,445.00",2020,2000
155SFR701S,"18,605.00",2045,2045
155SPH901S,"19,956.00",2016,2014
155SRC921S,"17,236.00",2001,2001
155SRS861S,"25,594.00",2318,2293
155SRY901S,"23,308.00",2019,2015
155SST901S,"28,097.00","3,090","3,030"
165SCC305S,"25,553.00",2005,2005
165SFN851S,"29,299.00",2002,2002
165SRP761S,"25,379.00",2006,2006
165SST901S,"17,266.00",2014,2014
165STRA01S,"11,331.00",2007,2007
165SWA931S,"16,122.00",2001,2001
180SGF911S,"11,181.00",2002,2002
199428305S,"19,530.00",2005,2005
99428771HS,"14,533.00",2770,2770
99GN1671HS,"11,827.00",2030,2020
199SST901S,"22,775.00",2030,2030
199SVE930S,"19,033.00",2015,2015
199SZN901S,"25,756.00",2002,2000
200SZJ900S,"24,745.00",2004,2004
201SCC870S,"18,342.00",2130,2070
201SRP980S,"29,685.00",2030,2000
201SRP981S,"26,791.00",2040,2000
201STC900S,"19,808.00",2830,2700
201STRA00S,"12,862.00",2030,2000
210SFB000S,"15,973.00",2156,2131
210SFN850S,"21,831.00",2129,2128
210SRC923S,"28,266.00",2007,2002
